"country.code","country.name","gni.month","cost.usd.per.gb","percent.income"
"FJI","Fiji",405.833333333333,4.89973943221345,2.414655983021
"GBR","United Kingdom",3619.16666666667,7.07657858554731,0.391061215871829
"GEO","Georgia",310,1.09356745966578,0.705527393332759
"GHA","Ghana",132.5,2.28006976877135,3.44161474531524
"GIN","Guinea",39.1666666666667,2.52851735015774,12.9115779582523
"GMB","Gambia",41.6666666666667,3.98533025493532,19.1295852236896
"GRC","Greece",1890,9.71581444208657,1.02812851239011
"GRD","Grenada",659.166666666667,9.1319444353125,2.77075431665613
"GTM","Guatemala",285.833333333333,6.19481512329902,4.33456451776025
"GUY","Guyana",328.333333333333,0.445300000000002,0.271248730964468
"HKG","Hong Kong",3360,15.577256894346,0.927217672282499
"HND","Honduras",189.166666666667,4.58414086837784,4.84666875951842
"HRV","Croatia",1081.66666666667,3.03279521713212,0.560763368344923
"HTI","Haiti",68.3333333333333,3.05640450742026,8.9455741680593
"HUN","Hungary",1111.66666666667,7.65351646462218,1.3769444913863
"IDN","Indonesia",302.5,0.405279288299399,0.267953248462412
"IND","India",130.833333333333,2.24733171789989,3.43541154328646
"IRL","Ireland",3879.16666666667,3.95540657206741,0.203930736261263
"IRN","Iran",593.333333333333,0.909582010637275,0.306600677742902
"IRQ","Iraq",541.666666666667,4.35817544554455,1.60917247220106
"ISR","Israel",2943.33333333333,4.03740921966983,0.274342642333171
"ITA","Italy",2855.83333333333,2.3672600359274,0.16578418693393
"JAM","Jamaica",429.166666666667,6.27335806058908,2.92350666901239
"JOR","Jordan",430,5.39378190662296,2.5087357705223
"JPN","Japan",3500,9.06855278832165,0.518203016475523
"KAZ","Kazakhstan",987.5,1.92095835531028,0.389054856771702
"KEN","Kenya",107.5,2.41996849849742,4.50226697394869
"KGZ","Kyrgyzstan",104.166666666667,6.83376524976919,13.1208292795568
"KHM","Cambodia",85,2.9293893129771,6.8926807364167
"KOR","South Korea",2257.5,9.53264775203267,0.844531362306327
"KWT","Kuwait",4108.33333333333,0.29515240963037,0.0143684743024927
"LAO","Laos",138.333333333333,4.93200049150924,7.13060312025432
"LBN","Lebanon",835.833333333333,4.05298759864712,0.969807600872692
"LBY","Libya",651.666666666667,75.9801171982627,23.3187060455026
"LCA","Saint Lucia",605,8.20390281935484,2.71203398986937
"LKA","Sri Lanka",288.333333333333,1.0096100240452,0.700307531129616
"LSO","Lesotho",110.833333333333,22.6303002749384,40.8366320750768
"LUX","Luxembourg",6332.5,6.19129547857937,0.195540323050276
"MAR","Morocco",255.833333333333,1.11352422951458,0.870507540988593
"MCO","Monaco",15637.5,10.4600954365284,0.133782195830899
"MDA","Moldova",213.333333333333,2.65732709764277,2.4912441540401
"MDG","Madagascar",36.6666666666667,2.95223115403236,16.1030790219947
"MDV","Maldives",534.166666666667,5.10117462796187,1.90995617895608
"MEX","Mexico",822.5,7.32612899435009,1.78142954269911
"MLI","Mali",54.1666666666667,28.7581402619061,106.1839025055
"MMR","Myanmar [Burma]",105.833333333333,3.08999882229236,5.83936785315091
"MOZ","Mozambique",50,5.01085772996938,20.0434309198775
"MUS","Mauritius",802.5,36.8796555156815,9.19119140577732
"MWI","Malawi",20.8333333333333,7.09300892857175,68.0928857142888
